target_id,pair,span_days,datum_error_mm,datum_error_mm_day,target_mm_per_pair_ref,target_mm_common_ref,target_mm_day_common_ref,window_px,stable_px
1,20260702_20260714,12.0,-46.274,-3.856,93.184,139.457,11.621,83,5658
1,20260714_20260726,12.0,21.299,1.775,-26.025,-47.324,-3.944,77,5658
1,20260726_20260819,24.0,-12.193,-0.508,29.958,42.151,1.756,92,5658
4,20260702_20260714,12.0,-46.274,-3.856,16.0,62.274,5.189,71,5658
4,20260714_20260726,12.0,21.299,1.775,13.402,-7.897,-0.658,60,5658
4,20260726_20260819,24.0,-12.193,-0.508,25.493,37.686,1.57,60,5658
5,20260702_20260714,12.0,-46.274,-3.856,-53.429,-7.155,-0.596,56,5658
5,20260714_20260726,12.0,21.299,1.775,46.171,24.872,2.073,73,5658
5,20260726_20260819,24.0,-12.193,-0.508,52.673,64.866,2.703,71,5658
9,20260702_20260714,12.0,-46.274,-3.856,nan,nan,nan,0,5658
9,20260714_20260726,12.0,21.299,1.775,-97.619,-118.918,-9.91,1,5658
9,20260726_20260819,24.0,-12.193,-0.508,-188.079,-175.886,-7.329,1,5658
