target_id,pair,span_days,datum_error_mm,datum_error_mm_day,target_mm_per_pair_ref,target_mm_common_ref,target_mm_day_common_ref,window_px,stable_px
1,20251128_20251210,12.0,20.135,1.678,154.778,134.643,11.22,111,5700
1,20251210_20251222,12.0,15.626,1.302,42.142,26.516,2.21,90,5700
1,20251222_20260103,12.0,26.933,2.244,15.599,-11.334,-0.944,118,5700
1,20260103_20260115,12.0,-11.046,-0.92,-22.286,-11.24,-0.937,124,5700
4,20251128_20251210,12.0,20.135,1.678,99.599,79.464,6.622,89,5700
4,20251210_20251222,12.0,15.626,1.302,138.233,122.607,10.217,88,5700
4,20251222_20260103,12.0,26.933,2.244,102.551,75.618,6.301,110,5700
4,20260103_20260115,12.0,-11.046,-0.92,149.976,161.021,13.418,98,5700
5,20251128_20251210,12.0,20.135,1.678,-17.136,-37.271,-3.106,99,5700
5,20251210_20251222,12.0,15.626,1.302,-98.223,-113.848,-9.487,87,5700
5,20251222_20260103,12.0,26.933,2.244,-42.364,-69.297,-5.775,97,5700
5,20260103_20260115,12.0,-11.046,-0.92,23.181,34.227,2.852,94,5700
9,20251128_20251210,12.0,20.135,1.678,nan,nan,nan,0,5700
9,20251210_20251222,12.0,15.626,1.302,0.374,-15.252,-1.271,1,5700
9,20251222_20260103,12.0,26.933,2.244,-39.39,-66.323,-5.527,1,5700
9,20260103_20260115,12.0,-11.046,-0.92,nan,nan,nan,0,5700
