precursor_days,revisit_days,detection_rate,false_alarm_rate,premature_rate,warning_median,warning_p25,warning_p75,abs_pred_error_median,noise_mm,creep_mm,n_trials,gate,gate_mm_day
5.0,1,0.995,0.0,0.0,2.4129004975552277,2.134421639116031,2.715506296978308,0.7638908779892151,5.0,300.0,400,noise,21.213
5.0,2,0.0725,0.0,0.0,1.240488952614097,1.1359285498302576,1.3446882956315775,1.0962205465886856,5.0,300.0,400,noise,10.607
5.0,3,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,7.071
5.0,4,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,5.303
5.0,6,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,3.536
5.0,8,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,2.652
5.0,12,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,1.768
5.0,16,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,1.326
5.0,24,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,0.884
10.0,1,0.9775,0.0,0.0,2.2771868550231176,1.6299664623380554,2.876987327678364,0.7015650034458432,5.0,300.0,400,noise,21.213
10.0,2,0.965,0.0,0.0,4.1480494043461995,3.278788058415148,4.818389595063995,1.236610670751964,5.0,300.0,400,noise,10.607
10.0,3,0.79,0.0,0.0,2.7762945898939186,2.218523905877137,3.337454664349007,0.925595726839922,5.0,300.0,400,noise,7.071
10.0,4,0.0675,0.0,0.0,2.413563818314934,2.3073660014047075,2.658002286515078,2.0926770022580063,5.0,300.0,400,noise,5.303
10.0,6,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,3.536
10.0,8,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,2.652
10.0,12,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,1.768
10.0,16,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,1.326
10.0,24,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,0.884
20.0,1,0.89,0.0,0.0,1.493707300626859,1.061229364453423,2.02421048962787,0.413546995481175,5.0,300.0,400,noise,21.213
20.0,2,0.9275,0.0,0.0,2.891834630962684,2.0650279277167574,4.0263544510203,0.8920359538736484,5.0,300.0,400,noise,10.607
20.0,3,0.865,0.0,0.0,4.690327885048534,3.214005499380087,6.115836102955914,1.2792771437348005,5.0,300.0,400,noise,7.071
20.0,4,0.8775,0.0,0.0,5.8331520471540514,4.08371430069295,7.790279821243377,1.5245752419681367,5.0,300.0,400,noise,5.303
20.0,6,0.7075,0.0,0.0,5.142925718000189,3.9818452934872877,6.34143425419694,1.4880715839913563,5.0,300.0,400,noise,3.536
20.0,8,0.0575,0.0,0.0,4.77040087311638,4.351556744565848,5.26114119722061,3.472644785598149,5.0,300.0,400,noise,2.652
20.0,12,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,1.768
20.0,16,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,1.326
20.0,24,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,0.884
40.0,1,0.665,0.0,0.0,1.148670802972589,0.8315777617783127,1.6010904091346188,0.29941964394853215,5.0,300.0,400,noise,21.213
40.0,2,0.675,0.0,0.0,2.4093769170274015,1.7526800574445716,3.2589081490432097,0.7086393966770714,5.0,300.0,400,noise,10.607
40.0,3,0.6875,0.0,0.0,3.4235122490836574,2.291333122722399,4.507491763214933,0.9169703996416345,5.0,300.0,400,noise,7.071
40.0,4,0.6975,0.0,0.0,4.7147604039702316,3.299517727889395,6.201963139766445,1.1343771093481507,5.0,300.0,400,noise,5.303
40.0,6,0.73,0.0,0.0,6.665662421390962,5.223559252544446,9.343754949413412,1.8852447946029613,5.0,300.0,400,noise,3.536
40.0,8,0.68,0.0,0.0,8.966632351622735,6.473705222244703,11.765141508386488,2.1912789811207034,5.0,300.0,400,noise,2.652
40.0,12,0.53,0.0,0.0,9.620908276025464,7.627797027956804,11.368966018155637,2.7022191502983866,5.0,300.0,400,noise,1.768
40.0,16,0.0425,0.0,0.0,8.885644517083158,8.517984141572136,10.412508178552493,5.573365911146773,5.0,300.0,400,noise,1.326
40.0,24,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,noise,0.884
