precursor_days,revisit_days,detection_rate,false_alarm_rate,premature_rate,warning_median,warning_p25,warning_p75,abs_pred_error_median,noise_mm,creep_mm,n_trials,gate,gate_mm_day
5.0,1,0.9025,0.093,0.0925,2.8981720636395245,2.5566988512951525,3.3139861912700326,2.0543923098314276,5.0,300.0,400,fixed,1.0
5.0,2,0.1675,0.024,0.025,3.1940505118914366,1.3219530950224243,3.681427008702375,2.659082450946709,5.0,300.0,400,fixed,1.0
5.0,3,0.0575,0.003,0.0125,3.0899766521122487,3.005705725894849,3.4715710003343503,2.6450478931993713,5.0,300.0,400,fixed,1.0
5.0,4,0.015,0.001,0.005,3.752887251421825,2.9550897417431123,4.183620907217041,2.500044534783892,5.0,300.0,400,fixed,1.0
5.0,6,0.0075,0.0,0.0,4.09291748025192,3.74703219956978,4.1366623976358365,3.096026785910447,5.0,300.0,400,fixed,1.0
5.0,8,0.0,0.0,0.005,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
5.0,12,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
5.0,16,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
5.0,24,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
10.0,1,0.8975,0.12,0.0925,6.120790688162948,3.9587417062217707,7.781378588436933,4.240184519896011,5.0,300.0,400,fixed,1.0
10.0,2,0.96,0.021,0.025,5.68848689145654,4.685045697380944,6.656869838246823,3.312152935513206,5.0,300.0,400,fixed,1.0
10.0,3,0.9575,0.005,0.0075,3.5649929181126794,2.6190704252451376,4.651876920606815,2.0094263973358135,5.0,300.0,400,fixed,1.0
10.0,4,0.17,0.0,0.0025,3.5393641433041356,2.4958178901848216,6.496070770161197,3.484362600923447,5.0,300.0,400,fixed,1.0
10.0,6,0.035,0.0,0.0,5.199340752383376,4.660854867158851,5.856560679148452,4.2399402400249535,5.0,300.0,400,fixed,1.0
10.0,8,0.0075,0.0,0.0,4.777159684099168,4.723398191555898,4.779581587788474,3.837972235213096,5.0,300.0,400,fixed,1.0
10.0,12,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
10.0,16,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
10.0,24,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
20.0,1,0.9175,0.151,0.0825,9.592509980107359,5.917793864804505,14.411795276099303,8.334731194616094,5.0,300.0,400,fixed,1.0
20.0,2,0.965,0.031,0.03,9.751694196447316,6.237794431319868,13.706663705199666,7.044519720851443,5.0,300.0,400,fixed,1.0
20.0,3,0.97,0.01,0.005,9.60644727889908,6.878990117205634,13.479331187312667,6.138327895816747,5.0,300.0,400,fixed,1.0
20.0,4,0.97,0.001,0.0025,10.388328241733538,7.05291942326196,12.32523953478524,5.525131019781013,5.0,300.0,400,fixed,1.0
20.0,6,0.9225,0.0,0.0,6.915902162190143,5.119688275071468,8.887617952061248,2.898389364211301,5.0,300.0,400,fixed,1.0
20.0,8,0.1925,0.0,0.0,6.437414328540349,5.200775283551643,10.075229820652993,5.8150856176815005,5.0,300.0,400,fixed,1.0
20.0,12,0.015,0.0,0.0,8.968511503768495,8.708156850428797,9.652658733467547,6.0078619649393925,5.0,300.0,400,fixed,1.0
20.0,16,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
20.0,24,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
40.0,1,0.8975,0.22,0.0925,13.723804085024309,6.540562736195337,23.9022432730483,12.044218694011509,5.0,300.0,400,fixed,1.0
40.0,2,0.9675,0.037,0.0225,14.272187114371686,7.846265073648901,23.022050041766967,11.397524553758224,5.0,300.0,400,fixed,1.0
40.0,3,0.98,0.01,0.0,14.43429768338693,8.137793328593258,22.646723126727977,10.40490310375307,5.0,300.0,400,fixed,1.0
40.0,4,0.975,0.003,0.005,15.057012625566609,9.988055488401205,22.129206847055872,9.552949030962353,5.0,300.0,400,fixed,1.0
40.0,6,0.9575,0.0,0.0,14.659955731785029,10.703331793347246,20.148276237905698,8.15701462965973,5.0,300.0,400,fixed,1.0
40.0,8,0.8925,0.0,0.0,15.251007172594115,9.91443749151199,19.867896092367744,5.442107447975964,5.0,300.0,400,fixed,1.0
40.0,12,0.7925,0.0,0.0,11.28947005696785,9.094461196943882,14.602260569001466,4.486569427627856,5.0,300.0,400,fixed,1.0
40.0,16,0.095,0.0,0.0,9.634975310293235,8.847815640189229,11.433018474815055,7.15543073963909,5.0,300.0,400,fixed,1.0
40.0,24,0.0,0.0,0.0,nan,nan,nan,nan,5.0,300.0,400,fixed,1.0
