azimuth_mad_sigma_mm,azimuth_median_mm,detect_floor_mm_day,export_file,export_mb,file,layer,magnitude_p95_mm,mean_correlation,range_mad_sigma_mm,range_max_abs_mm,range_median_mm,range_p5_mm,range_p95_mm,range_velocity_mm_day,reference,secondary,span_days,valid_pct,valid_px
258.57,182.29,91.73,GOFF_20251125_20251207_PR_HH-layer1.tif,0.292,NISAR_L2_PR_GOFF_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,HH/layer1,1304.9,0.617,366.92,1820.26,-92.35,-934.36,601.71,-7.696,20251125,20251207,12,0.13,24540
199.17,181.15,75.23,GOFF_20251125_20251207_PR_HH-layer2.tif,0.294,NISAR_L2_PR_GOFF_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,HH/layer2,1023.12,0.625,300.94,1433.84,-88.54,-789.73,443.33,-7.378,20251125,20251207,12,0.14,25364
127.35,170.45,54.41,GOFF_20251125_20251207_PR_HH-layer3.tif,0.279,NISAR_L2_PR_GOFF_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,HH/layer3,725.35,0.668,217.63,985.06,-78.94,-629.17,244.46,-6.578,20251125,20251207,12,0.14,25445
187.2,9.78,30.98,GOFF_20251128_20251210_PR_HH-layer1.tif,0.387,NISAR_L2_PR_GOFF_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,HH/layer1,589.31,0.643,123.92,552.68,22.68,-215.96,290.86,1.89,20251128,20251210,12,0.18,33265
112.7,2.42,18.99,GOFF_20251128_20251210_PR_HH-layer2.tif,0.387,NISAR_L2_PR_GOFF_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,HH/layer2,354.35,0.681,75.96,336.41,22.16,-118.86,192.6,1.847,20251128,20251210,12,0.19,35122
81.9,-6.72,13.21,GOFF_20251128_20251210_PR_HH-layer3.tif,0.362,NISAR_L2_PR_GOFF_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,HH/layer3,213.78,0.717,52.85,230.15,15.26,-50.9,132.19,1.272,20251128,20251210,12,0.19,34923
374.0,-91.72,94.15,GOFF_20251207_20251219_PR_HH-layer1.tif,0.29,NISAR_L2_PR_GOFF_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,HH/layer1,1755.83,0.593,376.59,1861.02,68.5,-847.16,977.19,5.708,20251207,20251219,12,0.13,24117
293.43,-117.28,75.04,GOFF_20251207_20251219_PR_HH-layer2.tif,0.293,NISAR_L2_PR_GOFF_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,HH/layer2,1327.73,0.599,300.16,1422.52,66.15,-649.63,819.03,5.513,20251207,20251219,12,0.13,24946
179.36,-125.72,47.32,GOFF_20251207_20251219_PR_HH-layer3.tif,0.271,NISAR_L2_PR_GOFF_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,HH/layer3,752.42,0.648,189.26,904.25,73.73,-341.86,527.65,6.144,20251207,20251219,12,0.13,23937
190.82,2.44,31.2,GOFF_20251210_20251222_PR_HH-layer1.tif,0.387,NISAR_L2_PR_GOFF_007_098_A_016_008_4000_SH_20251210T233920_20251210T233955_20251222T233921_20251222T233955_X05010_N_F_J_001.h5,HH/layer1,627.71,0.636,124.79,544.93,4.85,-251.54,266.53,0.404,20251210,20251222,12,0.18,33008
