azimuth_mad_sigma_mm,azimuth_median_mm,detect_floor_mm_day,export_file,export_mb,file,layer,magnitude_p95_mm,mean_correlation,range_mad_sigma_mm,range_max_abs_mm,range_median_mm,range_p5_mm,range_p95_mm,range_velocity_mm_day,reference,secondary,span_days,valid_pct,valid_px
344.37,144.35,125.76,GOFF_20251125_20251207_PR_HH-layer1.tif,0.083,NISAR_L2_PR_GOFF_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,HH/layer1,2328.54,0.589,503.02,2632.73,-145.85,-1459.91,1215.04,-12.154,20251125,20251207,12,0.03,6218
282.71,152.53,106.32,GOFF_20251125_20251207_PR_HH-layer2.tif,0.084,NISAR_L2_PR_GOFF_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,HH/layer2,1677.47,0.592,425.28,2061.15,-154.28,-1207.2,818.61,-12.857,20251125,20251207,12,0.03,6493
173.34,168.8,77.98,GOFF_20251125_20251207_PR_HH-layer3.tif,0.071,NISAR_L2_PR_GOFF_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,HH/layer3,1148.5,0.634,311.94,1509.52,-202.18,-879.63,322.63,-16.848,20251125,20251207,12,0.03,5734
237.59,8.79,38.94,GOFF_20251128_20251210_PR_HH-layer1.tif,0.107,NISAR_L2_PR_GOFF_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,HH/layer1,851.86,0.629,155.76,747.89,31.47,-297.46,396.2,2.623,20251128,20251210,12,0.04,8156
161.95,9.38,26.95,GOFF_20251128_20251210_PR_HH-layer2.tif,0.109,NISAR_L2_PR_GOFF_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,HH/layer2,540.41,0.664,107.79,499.37,39.0,-160.49,308.28,3.25,20251128,20251210,12,0.05,8775
90.12,2.15,15.48,GOFF_20251128_20251210_PR_HH-layer3.tif,0.1,NISAR_L2_PR_GOFF_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,HH/layer3,332.71,0.703,61.91,311.97,40.01,-75.39,215.15,3.334,20251128,20251210,12,0.05,8237
547.13,-125.12,162.2,GOFF_20251207_20251219_PR_HH-layer1.tif,0.082,NISAR_L2_PR_GOFF_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,HH/layer1,3764.81,0.556,648.8,3221.48,-60.81,-1849.09,1332.13,-5.067,20251207,20251219,12,0.03,5904
407.8,-135.43,126.33,GOFF_20251207_20251219_PR_HH-layer2.tif,0.082,NISAR_L2_PR_GOFF_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,HH/layer2,2148.57,0.561,505.32,2306.31,-57.3,-1460.01,961.42,-4.775,20251207,20251219,12,0.03,6090
238.05,-127.92,75.1,GOFF_20251207_20251219_PR_HH-layer3.tif,0.067,NISAR_L2_PR_GOFF_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,HH/layer3,1253.79,0.601,300.42,1321.52,-34.6,-929.65,525.26,-2.883,20251207,20251219,12,0.03,5092
246.82,4.63,42.63,GOFF_20251210_20251222_PR_HH-layer1.tif,0.106,NISAR_L2_PR_GOFF_007_098_A_016_008_4000_SH_20251210T233920_20251210T233955_20251222T233921_20251222T233955_X05010_N_F_J_001.h5,HH/layer1,876.47,0.619,170.52,801.37,21.5,-364.66,371.37,1.792,20251210,20251222,12,0.04,7968
151.58,-0.94,28.53,GOFF_20251210_20251222_PR_HH-layer2.tif,0.108,NISAR_L2_PR_GOFF_007_098_A_016_008_4000_SH_20251210T233920_20251210T233955_20251222T233921_20251222T233955_X05010_N_F_J_001.h5,HH/layer2,524.89,0.653,114.11,503.41,17.4,-230.54,251.41,1.45,20251210,20251222,12,0.05,8625
79.3,12.85,18.0,GOFF_20251210_20251222_PR_HH-layer3.tif,0.098,NISAR_L2_PR_GOFF_007_098_A_016_008_4000_SH_20251210T233920_20251210T233955_20251222T233921_20251222T233955_X05010_N_F_J_001.h5,HH/layer3,284.82,0.696,72.02,303.42,15.36,-131.38,161.6,1.28,20251210,20251222,12,0.04,8034
829.5,161.92,199.15,GOFF_20251219_20251231_PR_HH-layer1.tif,0.077,NISAR_L2_PR_GOFF_008_048_D_074_009_2000_QD_20251219T125815_20251219T125849_20251231T125815_20251231T125850_X05010_N_F_J_001.h5,HH/layer1,12394.48,0.562,796.61,5002.55,-12.02,-2014.81,2368.45,-1.002,20251219,20251231,12,0.03,5327
515.44,-0.27,139.9,GOFF_20251219_20251231_PR_HH-layer2.tif,0.081,NISAR_L2_PR_GOFF_008_048_D_074_009_2000_QD_20251219T125815_20251219T125849_20251231T125815_20251231T125850_X05010_N_F_J_001.h5,HH/layer2,3944.75,0.564,559.59,2720.81,-54.71,-1229.67,1518.18,-4.559,20251219,20251231,12,0.03,5971
296.13,-27.24,92.51,GOFF_20251219_20251231_PR_HH-layer3.tif,0.058,NISAR_L2_PR_GOFF_008_048_D_074_009_2000_QD_20251219T125815_20251219T125849_20251231T125815_20251231T125850_X05010_N_F_J_001.h5,HH/layer3,1135.3,0.608,370.04,1570.97,-81.44,-632.64,698.89,-6.787,20251219,20251231,12,0.02,4330
234.51,9.05,39.64,GOFF_20251222_20260103_PR_HH-layer1.tif,0.109,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer1,776.97,0.625,158.55,732.75,17.24,-284.77,359.09,1.437,20251222,20260103,12,0.05,8332
149.96,18.33,26.27,GOFF_20251222_20260103_PR_HH-layer2.tif,0.111,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer2,546.04,0.66,105.1,453.92,15.67,-173.5,232.46,1.306,20251222,20260103,12,0.05,8978
102.62,15.22,17.5,GOFF_20251222_20260103_PR_HH-layer3.tif,0.103,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer3,329.69,0.699,70.0,304.74,17.82,-102.35,157.47,1.485,20251222,20260103,12,0.05,8574
430.24,196.02,159.07,GOFF_20251231_20260112_PR_HH-layer1.tif,0.089,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer1,3171.19,0.601,636.3,3773.37,244.79,-1203.48,1998.69,20.399,20251231,20260112,12,0.04,6607
347.76,130.24,134.55,GOFF_20251231_20260112_PR_HH-layer2.tif,0.088,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer2,2152.73,0.604,538.21,2795.51,235.48,-954.43,1634.36,19.623,20251231,20260112,12,0.04,6839
222.35,94.67,90.08,GOFF_20251231_20260112_PR_HH-layer3.tif,0.07,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer3,1392.17,0.652,360.31,1797.93,213.42,-656.09,1238.11,17.785,20251231,20260112,12,0.03,5482
230.01,-7.2,39.46,GOFF_20260103_20260115_PR_HH-layer1.tif,0.108,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer1,797.04,0.632,157.83,725.17,1.17,-329.14,372.42,0.097,20260103,20260115,12,0.04,8205
152.9,-2.12,27.26,GOFF_20260103_20260115_PR_HH-layer2.tif,0.109,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer2,508.87,0.664,109.04,480.46,12.25,-186.87,296.68,1.021,20260103,20260115,12,0.05,8749
94.79,6.82,16.5,GOFF_20260103_20260115_PR_HH-layer3.tif,0.099,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer3,311.89,0.704,65.99,299.96,15.97,-91.82,215.12,1.331,20260103,20260115,12,0.04,8130
1200.62,196.78,148.28,GOFF_20260629_20260711_PR_HH-layer1.tif,0.073,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,HH/layer1,8598.35,0.558,593.11,4139.76,242.23,-1606.13,2177.25,20.186,20260629,20260711,12,0.03,5114
1081.81,144.74,118.13,GOFF_20260629_20260711_PR_HH-layer2.tif,0.078,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,HH/layer2,2729.09,0.553,472.52,2576.18,249.08,-1052.44,1631.22,20.757,20260629,20260711,12,0.03,5973
