aoi_pct,aoi_px,azimuth_mad_sigma_mm,azimuth_median_mm,detect_floor_mm_day,export_file,export_mb,file,frame_pct,frame_px,layer,magnitude_p95_mm,mean_correlation,processing,range_mad_sigma_mm,range_max_abs_mm,range_median_mm,range_p5_mm,range_p95_mm,range_velocity_mm_day,reference,secondary,span_days,track,valid_px
60.18,12800,232.84,172.93,93.11,GOFF_20251125_20251207_PR_HH-layer2.tif,0.097,NISAR_L2_PR_GOFF_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,0.0414,18621900,HH/layer2,1418.24,0.607,PR,372.44,1807.7,-130.96,-1070.89,676.88,-10.913,20251125,20251207,12,DESC 048,7703
72.38,12800,124.81,2.63,21.02,GOFF_20251128_20251210_PR_HH-layer2.tif,0.114,NISAR_L2_PR_GOFF_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,0.0508,18235530,HH/layer2,453.09,0.684,PR,84.09,402.78,27.64,-135.44,228.59,2.303,20251128,20251210,12,ASC 098,9264
56.0,12800,320.89,-130.95,103.5,GOFF_20251207_20251219_PR_HH-layer2.tif,0.094,NISAR_L2_PR_GOFF_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,0.0385,18621900,HH/layer2,1786.39,0.578,PR,414.0,1902.89,-12.25,-1234.11,847.18,-1.021,20251207,20251219,12,DESC 048,7168
70.92,12800,127.86,-2.06,21.36,GOFF_20251210_20251222_PR_HH-layer2.tif,0.113,NISAR_L2_PR_GOFF_007_098_A_016_008_4000_SH_20251210T233920_20251210T233955_20251222T233921_20251222T233955_X05010_N_F_J_001.h5,0.0498,18235530,HH/layer2,475.29,0.678,PR,85.43,393.88,18.91,-177.11,225.09,1.576,20251210,20251222,12,ASC 098,9078
55.73,12800,402.89,79.72,117.9,GOFF_20251219_20251231_PR_HH-layer2.tif,0.093,NISAR_L2_PR_GOFF_008_048_D_074_009_2000_QD_20251219T125815_20251219T125849_20251231T125815_20251231T125850_X05010_N_F_J_001.h5,0.0383,18621900,HH/layer2,2571.62,0.588,PR,471.59,2289.98,-98.4,-1037.56,1199.41,-8.2,20251219,20251231,12,DESC 048,7134
74.52,12800,138.02,13.35,24.5,GOFF_20251222_20260103_PR_HH-layer2.tif,0.117,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,0.0523,18235530,HH/layer2,513.06,0.656,PR,97.99,432.81,25.64,-152.64,233.23,2.137,20251222,20260103,12,ASC 098,9538
62.81,12800,293.01,135.01,113.98,GOFF_20251231_20260112_PR_HH-layer2.tif,0.1,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,0.0432,18621900,HH/layer2,1855.92,0.621,PR,455.9,2292.87,217.5,-785.3,1510.13,18.125,20251231,20260112,12,DESC 048,8040
72.27,12800,137.99,-4.53,23.83,GOFF_20260103_20260115_PR_HH-layer2.tif,0.115,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,0.0507,18235530,HH/layer2,436.44,0.666,PR,95.32,406.94,-1.42,-185.42,220.12,-0.118,20260103,20260115,12,ASC 098,9251
52.78,12800,968.03,154.49,114.31,GOFF_20260629_20260711_PR_HH-layer2.tif,0.088,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,0.0363,18621900,HH/layer2,2453.82,0.548,PR,457.22,2421.25,235.15,-992.6,1524.29,19.596,20260629,20260711,12,DESC 048,6756
64.31,12800,329.64,63.44,18.6,GOFF_20260702_20260714_PR_HH-layer2.tif,0.104,NISAR_L2_PR_GOFF_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,0.0451,18235530,HH/layer2,660.51,0.653,PR,74.41,372.73,-40.67,-195.11,158.73,-3.389,20260702,20260714,12,ASC 098,8232
54.66,12800,822.44,-53.55,86.24,GOFF_20260711_20260723_PR_HH-layer2.tif,0.09,NISAR_L2_PR_GOFF_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,0.0376,18621900,HH/layer2,1838.92,0.591,PR,344.96,1770.78,-96.3,-953.13,1011.28,-8.025,20260711,20260723,12,DESC 048,6996
66.93,12800,315.36,-235.12,13.35,GOFF_20260714_20260726_PR_HH-layer2.tif,0.105,NISAR_L2_PR_GOFF_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,0.047,18235530,HH/layer2,698.02,0.714,PR,53.41,246.75,20.65,-88.38,130.28,1.721,20260714,20260726,12,ASC 098,8567
68.78,12800,110.85,-270.41,9.37,GOFF_20260723_20260816_PR_HH-layer2.tif,0.105,NISAR_L2_PR_GOFF_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,0.0473,18621900,HH/layer2,653.1,0.647,PR,74.93,367.36,28.99,-121.81,232.17,1.208,20260723,20260816,24,DESC 048,8804
