export_cols,export_file,export_mb,export_rows,file,max,mean_coherence,median,min,p1,p25,p5,p75,p95,p99,reference,secondary,std,valid_pct,valid_px
144,GUNW_20251125_20251207.tif,0.124,181,NISAR_L2_PR_GUNW_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,117.313,0.605,7.529,-96.688,-38.914,-0.222,-17.283,16.316,31.073,60.139,20251125,20251207,16.485,0.09,16545
222,GUNW_20251128_20251210.tif,0.225,182,NISAR_L2_PR_GUNW_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,97.418,0.61,-37.029,-188.047,-109.482,-43.237,-63.174,-28.677,-12.021,8.898,20251128,20251210,18.68,0.17,30567
144,GUNW_20251207_20251219.tif,0.113,181,NISAR_L2_PR_GUNW_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,94.665,0.6125,-5.299,-77.627,-39.214,-11.775,-25.039,3.178,17.89,40.698,20251207,20251219,14.189,0.08,14231
222,GUNW_20251210_20251222.tif,0.234,182,NISAR_L2_PR_GUNW_007_098_A_016_008_4000_SH_20251210T233920_20251210T233955_20251222T233921_20251222T233955_X05010_N_F_J_001.h5,135.885,0.603,-5.573,-196.643,-63.218,-10.76,-30.278,-0.405,13.418,50.757,20251210,20251222,17.196,0.16,29768
222,GUNW_20251222_20260103.tif,0.234,182,NISAR_L2_PR_GUNW_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,176.73,0.5972,30.12,-143.777,-24.527,21.874,1.785,37.852,53.792,92.842,20251222,20260103,18.69,0.18,32063
221,GUNW_20260103_20260115.tif,0.227,182,NISAR_L2_PR_GUNW_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,123.132,0.6015,11.371,-188.238,-58.11,3.592,-19.218,20.539,40.549,56.345,20260103,20260115,19.372,0.16,29829
221,GUNW_20260620_20260702.tif,0.014,181,NISAR_L2_PR_GUNW_023_098_A_016_024_4000_SH_20260620T233921_20260620T233956_20260702T233920_20260702T233955_P05023_N_F_J_001.h5,67.292,0.474,-4.891,-103.439,-66.206,-9.916,-20.628,0.589,18.91,51.68,20260620,20260702,15.722,0.0,563
144,GUNW_20260629_20260711.tif,0.022,180,NISAR_L2_PR_GUNW_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,110.652,0.4719,16.571,-97.417,-50.559,2.907,-20.624,76.554,98.295,103.381,20260629,20260711,41.647,0.01,1637
219,GUNW_20260702_20260714.tif,0.017,179,NISAR_L2_PR_GUNW_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,54.54,0.5109,-5.385,-90.037,-51.266,-12.664,-26.445,-0.045,17.35,30.0,20260702,20260714,14.425,0.0,826
145,GUNW_20260711_20260723.tif,0.027,180,NISAR_L2_PR_GUNW_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,98.58,0.5369,2.646,-516.526,-188.955,-29.889,-66.232,29.052,45.716,60.375,20260711,20260723,50.845,0.01,2406
213,GUNW_20260714_20260726.tif,0.012,179,NISAR_L2_PR_GUNW_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,45.292,0.564,6.768,-61.475,-27.006,2.835,-6.841,10.516,18.062,32.859,20260714,20260726,9.685,0.0,472
220,GUNW_20260723_20260816.tif,0.021,179,NISAR_L2_PR_GUNW_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,86.456,0.496,-1.982,-135.052,-62.535,-14.387,-47.585,6.502,44.079,73.595,20260723,20260816,25.815,0.01,1167
221,GUNW_20260726_20260819.tif,0.015,180,NISAR_L2_PR_GUNW_026_098_A_016_028_4000_SH_20260726T233919_20260726T233954_20260819T233918_20260819T233953_P05023_N_F_J_001.h5,66.958,0.5404,3.762,-74.35,-63.201,-2.674,-44.646,10.221,24.67,47.555,20260726,20260819,19.403,0.0,679
142,GUNW_20260816_20260828.tif,0.025,181,NISAR_L2_PR_GUNW_028_048_D_074_029_2000_SH_20260816T125812_20260816T125846_20260828T125812_20260828T125846_P05023_N_F_J_001.h5,594.322,0.6402,-14.662,-79.452,-62.174,-22.357,-39.214,-10.189,20.467,357.142,20260816,20260828,60.382,0.01,2110
142,GUNW_20260816_20260828.tif,0.024,181,NISAR_L2_UR_GUNW_028_048_D_074_029_2000_SH_20260816T125812_20260816T125846_20260828T125812_20260828T125846_P05023_F_F_J_001.h5,21.629,0.636,-279.801,-445.572,-394.394,-297.851,-343.519,-273.693,-255.117,-97.721,20260816,20260828,40.77,0.01,2028
