export_cols,export_file,export_mb,export_rows,file,max,mean_coherence,median,min,p1,p25,p5,p75,p95,p99,reference,secondary,std,valid_pct,valid_px
61,GUNW_20251125_20251207_PR.tif,0.021,108,NISAR_L2_PR_GUNW_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,114.595,0.5521,8.34,-46.504,-29.752,-0.643,-15.353,22.021,58.559,90.855,20251125,20251207,22.322,0.01,2174
129,GUNW_20251128_20251210_PR.tif,0.051,118,NISAR_L2_PR_GUNW_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,75.06,0.5598,-50.373,-250.31,-209.333,-82.076,-174.99,-40.211,-19.203,8.085,20251128,20251210,48.026,0.03,6014
53,GUNW_20251207_20251219_PR.tif,0.017,99,NISAR_L2_PR_GUNW_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,82.155,0.5395,-11.705,-85.493,-66.183,-25.094,-43.331,-0.4,19.798,40.838,20251207,20251219,19.782,0.01,1716
129,GUNW_20251210_20251222_PR.tif,0.047,114,NISAR_L2_PR_GUNW_007_098_A_016_008_4000_SH_20251210T233920_20251210T233955_20251222T233921_20251222T233955_X05010_N_F_J_001.h5,159.549,0.5615,0.197,-166.996,-98.275,-8.669,-44.418,16.232,93.043,125.783,20251210,20251222,38.385,0.03,5028
129,GUNW_20251222_20260103_PR.tif,0.058,118,NISAR_L2_PR_GUNW_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,210.048,0.5485,24.992,-116.627,-59.847,13.291,-21.073,46.561,123.301,153.971,20251222,20260103,41.874,0.04,6725
129,GUNW_20260103_20260115_PR.tif,0.048,115,NISAR_L2_PR_GUNW_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,161.119,0.5647,8.37,-184.116,-133.627,-11.926,-67.249,21.632,41.197,86.696,20260103,20260115,36.6,0.03,5146
123,GUNW_20260620_20260702_PR.tif,0.006,100,NISAR_L2_PR_GUNW_023_098_A_016_024_4000_SH_20260620T233921_20260620T233956_20260702T233920_20260702T233955_P05023_N_F_J_001.h5,105.946,0.4873,48.77,6.396,10.555,38.831,15.776,58.908,84.727,102.777,20260620,20260702,19.817,0.0,225
40,GUNW_20260629_20260711_PR.tif,0.009,79,NISAR_L2_PR_GUNW_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,86.234,0.4984,16.591,-14.658,-7.969,6.097,-2.196,25.904,43.469,70.832,20260629,20260711,15.014,0.0,714
120,GUNW_20260702_20260714_PR.tif,0.008,116,NISAR_L2_PR_GUNW_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,62.864,0.4816,-45.556,-118.133,-110.85,-61.185,-85.723,-31.118,10.826,46.971,20260702,20260714,28.854,0.0,428
55,GUNW_20260711_20260723_PR.tif,0.01,93,NISAR_L2_PR_GUNW_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,88.729,0.5563,25.129,-520.001,-279.192,13.141,-1.583,35.196,61.632,77.932,20260711,20260723,49.995,0.0,871
116,GUNW_20260714_20260726_PR.tif,0.006,109,NISAR_L2_PR_GUNW_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,69.292,0.4744,38.113,-38.204,-2.121,29.104,8.948,43.134,51.694,59.482,20260714,20260726,14.483,0.0,213
121,GUNW_20260723_20260816_PR.tif,0.008,107,NISAR_L2_PR_GUNW_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,32.598,0.5041,-5.296,-64.983,-59.408,-17.03,-43.751,1.085,16.894,23.849,20260723,20260816,18.168,0.0,411
128,GUNW_20260726_20260819_PR.tif,0.01,104,NISAR_L2_PR_GUNW_026_098_A_016_028_4000_SH_20260726T233919_20260726T233954_20260819T233918_20260819T233953_P05023_N_F_J_001.h5,121.151,0.5688,35.081,-81.954,-67.811,9.878,-20.765,67.166,108.119,117.283,20260726,20260819,40.129,0.0,583
56,GUNW_20260816_20260828_PR.tif,0.008,90,NISAR_L2_PR_GUNW_028_048_D_074_029_2000_SH_20260816T125812_20260816T125846_20260828T125812_20260828T125846_P05023_N_F_J_001.h5,610.417,0.5834,-19.766,-83.551,-59.504,-25.639,-36.359,-11.239,7.461,475.136,20260816,20260828,71.477,0.0,569
48,GUNW_20260816_20260828_UR.tif,0.007,95,NISAR_L2_UR_GUNW_028_048_D_074_029_2000_SH_20260816T125812_20260816T125846_20260828T125812_20260828T125846_P05023_F_F_J_001.h5,61.916,0.5686,-290.941,-318.692,-316.492,-299.477,-308.749,-277.562,-223.23,-18.943,20260816,20260828,43.431,0.0,526
