aoi_pct,aoi_px,export_cols,export_file,export_mb,export_rows,file,frame_pct,frame_px,max,mean_coherence,median,min,p1,p25,p5,p75,p95,p99,reference,secondary,std,valid_px,wavelength_m
20.8,12800,116,GUNW_20251125_20251207_PR.tif,0.026,155,NISAR_L2_PR_GUNW_006_048_D_074_007_2000_SH_20251125T125813_20251125T125848_20251207T125814_20251207T125849_X05010_N_F_J_001.h5,0.0143,18621900,114.595,0.5904,15.431,-46.504,-27.796,2.909,-12.363,24.633,50.212,88.241,20251125,20251207,19.687,2663,0.243932
55.29,12800,116,GUNW_20251128_20251210_PR.tif,0.057,155,NISAR_L2_PR_GUNW_006_098_A_016_007_4000_SH_20251128T233919_20251128T233954_20251210T233920_20251210T233955_X05010_N_F_J_001.h5,0.0388,18235530,75.06,0.6048,-47.92,-245.332,-197.046,-61.448,-162.755,-39.82,-21.645,5.541,20251128,20251210,39.434,7077,0.241963
16.92,12800,116,GUNW_20251207_20251219_PR.tif,0.023,155,NISAR_L2_PR_GUNW_007_048_D_074_008_2000_SH_20251207T125814_20251207T125849_20251219T125815_20251219T125849_X05010_N_F_J_001.h5,0.0116,18621900,82.155,0.5948,-2.842,-85.493,-60.905,-15.598,-40.224,4.207,19.022,38.83,20251207,20251219,18.389,2166,0.243932
48.95,12800,116,GUNW_20251210_20251222_PR.tif,0.055,155,NISAR_L2_PR_GUNW_007_098_A_016_008_4000_SH_20251210T233920_20251210T233955_20251222T233921_20251222T233955_X05010_N_F_J_001.h5,0.0344,18235530,159.549,0.6149,-2.323,-166.996,-90.794,-8.194,-35.825,7.839,73.97,123.473,20251210,20251222,32.416,6265,0.241963
59.31,12800,116,GUNW_20251222_20260103_PR.tif,0.063,155,NISAR_L2_PR_GUNW_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,0.0416,18235530,203.203,0.5634,23.345,-116.627,-56.341,12.947,-15.946,36.438,111.483,142.64,20251222,20260103,35.641,7592,0.241963
49.33,12800,116,GUNW_20260103_20260115_PR.tif,0.055,155,NISAR_L2_PR_GUNW_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,0.0346,18235530,161.119,0.5827,16.057,-184.116,-129.313,-4.684,-53.35,26.384,41.767,75.633,20260103,20260115,34.158,6314,0.241963
1.36,12800,116,GUNW_20260620_20260702_PR.tif,0.006,155,NISAR_L2_PR_GUNW_023_098_A_016_024_4000_SH_20260620T233921_20260620T233956_20260702T233920_20260702T233955_P05023_N_F_J_001.h5,0.001,18235530,105.946,0.4609,44.765,8.208,11.739,35.594,17.784,57.48,88.593,104.04,20260620,20260702,19.858,174,0.241963
8.45,12800,116,GUNW_20260629_20260711_PR.tif,0.015,155,NISAR_L2_PR_GUNW_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,0.0058,18621900,86.234,0.4999,8.952,-33.604,-11.833,1.682,-7.311,20.807,38.08,65.245,20260629,20260711,14.98,1082,0.243932
2.84,12800,116,GUNW_20260702_20260714_PR.tif,0.008,155,NISAR_L2_PR_GUNW_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,0.002,18235530,62.864,0.4591,-46.14,-118.133,-111.757,-59.222,-78.328,-33.605,12.647,48.105,20260702,20260714,28.074,363,0.241963
11.28,12800,116,GUNW_20260711_20260723_PR.tif,0.017,155,NISAR_L2_PR_GUNW_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,0.0078,18621900,88.729,0.589,35.956,-520.001,-263.767,21.03,3.128,42.593,55.562,73.465,20260711,20260723,47.817,1444,0.243932
