precursor_days,revisit_days,detection_rate,warning_median,warning_p25,warning_p75,abs_pred_error_median,noise_mm,creep_mm,n_trials
5,1.0,0.2325,8.513811887298967,3.7670740072729103,19.515165276941758,7.605775685327499,22.9,300.0,400
5,2.0,0.0625,16.30194779954006,5.066327191914933,20.493188853114088,12.8896453045607,22.9,300.0,400
5,3.0,0.0425,17.837150571328856,8.950049347097366,19.71957408295273,11.379873443311606,22.9,300.0,400
5,4.0,0.02,13.240509224680373,9.6760100330551,16.374636036106956,6.263207693463294,22.9,300.0,400
5,6.0,0.0025,6.806173946778863,6.806173946778863,6.806173946778863,2.443761574628195,22.9,300.0,400
5,8.0,0.0025,8.934173803772396,8.934173803772396,8.934173803772396,5.1479251814034725,22.9,300.0,400
5,12.0,0.0,nan,nan,nan,nan,22.9,300.0,400
10,1.0,0.3725,6.536267595507912,4.069223687843252,17.327354199563775,5.658351698725998,22.9,300.0,400
10,2.0,0.2075,6.921601920287259,5.54472907642489,15.357892633754663,5.669769636391882,22.9,300.0,400
10,3.0,0.07,9.297336003883519,7.164031359800862,18.207405837000568,8.079406381958556,22.9,300.0,400
10,4.0,0.035,14.217921072434757,9.718252974565765,22.022204438319427,14.654271484926717,22.9,300.0,400
10,6.0,0.0075,10.00071631858945,9.814525845608088,10.853488378694244,7.246313422717715,22.9,300.0,400
10,8.0,0.0,nan,nan,nan,nan,22.9,300.0,400
10,12.0,0.0,nan,nan,nan,nan,22.9,300.0,400
20,1.0,0.52,9.145034651838646,3.9950830880738817,19.911427671526887,8.02376169365505,22.9,300.0,400
20,2.0,0.3,9.120139010605108,5.602057975567754,14.65103493914938,7.10144642717678,22.9,300.0,400
20,3.0,0.22,10.388161480161761,7.115060710105278,13.523238685831087,7.708775119260343,22.9,300.0,400
20,4.0,0.1825,10.707941791498175,8.385542974187818,13.410520002295883,7.221684144336214,22.9,300.0,400
20,6.0,0.07,13.543580133844097,12.340123002099844,15.161446112187809,8.377160494112289,22.9,300.0,400
20,8.0,0.015,16.120316778062644,14.976828688771722,20.492350917182307,9.181545048822837,22.9,300.0,400
20,12.0,0.0025,18.395879752808998,18.395879752808998,18.395879752808998,0.5448971699375704,22.9,300.0,400
40,1.0,0.5225,20.905979816957824,6.528381946346627,38.8373750011761,19.221877790710966,22.9,300.0,400
40,2.0,0.3875,18.075378852639748,6.313838958700163,31.898741297826895,14.64834806617209,22.9,300.0,400
40,3.0,0.295,13.800929463669563,7.727994495522802,23.91738220801103,10.445493578904452,22.9,300.0,400
40,4.0,0.24,15.132489032283898,8.49302192630846,24.290598524998146,9.928394686791874,22.9,300.0,400
40,6.0,0.195,16.467097598006664,11.220274319529496,24.095927929255478,12.509856708063507,22.9,300.0,400
40,8.0,0.1325,17.705334120504205,14.642565669895024,23.977065505155167,11.857310493822894,22.9,300.0,400
40,12.0,0.0275,21.99739112718231,20.618156584063914,24.53176396114993,13.575446711079639,22.9,300.0,400
