id,n_px,area_km2,lat,lon,elev_m,slope_deg,aspect_deg,reading,d_ndsi_median
1,3838,1.5352,28.26459,85.49739,6255.0,51.78522,12.44046,DETACHMENT-like,-0.42278
2,2525,1.01,28.25226,85.49913,5843.0,43.44884,160.02407,south-facing -> melt,-0.38178
3,1780,0.712,28.2682,85.53841,5898.0,50.13177,141.21564,south-facing -> melt,-0.36459
4,1712,0.6848,28.27799,85.52983,5370.0,36.67108,350.66067,DETACHMENT-like,-0.37369
5,467,0.1868,28.2702,85.51853,6009.0,38.80312,346.51581,DETACHMENT-like,-0.42043
6,377,0.1508,28.28537,85.5125,4000.0,9.85118,352.64762,deposit / flat,-0.62069
7,331,0.1324,28.24909,85.48,6274.0,51.47671,154.45494,south-facing -> melt,-0.39218
8,324,0.1296,28.29122,85.52867,5069.0,32.7522,276.69538,ambiguous,-0.46194
9,269,0.1076,28.2546,85.47591,6099.0,32.55562,9.01151,DETACHMENT-like,-0.43552
10,248,0.0992,28.24935,85.46533,5950.0,53.27586,293.05827,ambiguous,-0.36623
11,215,0.086,28.25597,85.52613,6320.0,48.75751,91.32573,ambiguous,-0.34281
12,198,0.0792,28.25985,85.52822,6331.0,49.97823,114.53244,ambiguous,-0.34446
