lat,lon,elev_m,slope_deg,aspect_deg,sens_asc,sens_desc
28.32669,85.48311,3199,32.6,56,0.069,-0.797
28.32669,85.48611,3075,14.2,34,0.235,-0.440
28.32669,85.48911,3122,18.4,296,-0.736,0.307
28.32669,85.49211,3254,32.1,278,-0.923,0.097
28.32669,85.49511,3553,30.7,292,-0.860,0.110
28.32669,85.49811,3595,34.2,321,-0.689,-0.067
28.32669,85.50111,3756,41.0,327,-0.698,-0.208
28.32669,85.50411,3832,35.9,357,-0.394,-0.356
28.32669,85.50711,3793,37.3,24,-0.186,-0.604
28.32669,85.51011,3641,37.4,1,-0.375,-0.411
28.32669,85.51311,3709,40.6,353,-0.482,-0.382
28.32669,85.51611,3681,37.8,18,-0.245,-0.552
28.32669,85.51911,3573,23.8,18,-0.047,-0.398
28.32669,85.52211,3630,12.5,325,-0.437,0.250
28.32669,85.52511,3631,9.3,296,-0.637,0.451
28.32369,85.46811,3475,35.6,348,-0.475,-0.274
28.32369,85.47111,3529,38.6,352,-0.466,-0.352
28.32369,85.47411,3548,36.4,359,-0.384,-0.378
28.32369,85.47711,3552,28.7,6,-0.219,-0.350
28.32369,85.48011,3559,28.8,56,0.135,-0.772
28.32369,85.48311,3275,35.6,75,0.064,-0.913
28.32369,85.48611,3075,13.6,54,0.368,-0.600
28.32369,85.48911,3157,14.0,293,-0.705,0.386
28.32369,85.49211,3192,26.1,267,-0.906,0.188
28.32369,85.49511,3441,35.3,258,-0.964,0.005
28.32369,85.49811,3691,36.8,266,-0.969,0.002
28.32369,85.50111,3955,32.5,285,-0.903,0.089
28.32369,85.50411,4058,18.8,347,-0.290,-0.029
28.32369,85.50711,3906,28.8,18,-0.112,-0.463
28.32369,85.51011,3897,36.6,348,-0.484,-0.291
28.32369,85.51311,4049,38.6,353,-0.463,-0.355
28.32369,85.51611,4015,39.8,34,-0.158,-0.702
28.32369,85.51911,3730,34.9,32,-0.094,-0.647
28.32369,85.52211,3666,25.8,3,-0.215,-0.278
28.32369,85.52511,3748,18.9,357,-0.180,-0.132
28.32369,85.52811,3749,14.7,341,-0.298,0.082
28.32369,85.53111,3716,9.0,307,-0.555,0.414
28.32369,85.53411,3748,26.5,241,-0.882,0.077
28.32069,85.46811,3725,30.8,314,-0.719,0.028
28.32069,85.47111,3809,33.9,343,-0.497,-0.215
28.32069,85.47411,3785,34.4,8,-0.279,-0.432
28.32069,85.47711,3724,32.0,34,-0.041,-0.631
28.32069,85.48011,3526,36.3,63,0.032,-0.865
28.32069,85.48311,3323,36.3,67,0.039,-0.882
28.32069,85.48611,3177,21.3,43,0.192,-0.604
28.32069,85.48911,3176,15.0,322,-0.497,0.233
28.32069,85.49211,3303,18.5,292,-0.760,0.316
28.32069,85.49511,3327,26.8,261,-0.915,0.160
28.32069,85.49811,3592,40.0,246,-0.968,-0.116
28.32069,85.50111,3853,41.4,246,-0.972,-0.142
