lat,lon,elev_m,slope_deg,aspect_deg,sens_asc,sens_desc
28.46550,85.44000,4425,31.2,135,-0.086,-0.835
28.46550,85.44450,4085,36.2,142,-0.214,-0.830
28.46550,85.44900,4178,34.7,152,-0.272,-0.759
28.46550,85.45350,3822,25.8,138,-0.029,-0.777
28.46550,85.45800,3747,18.9,260,-0.850,0.289
28.46550,85.46250,4140,35.4,270,-0.958,0.033
28.46550,85.46700,4501,32.3,264,-0.949,0.075
28.46550,85.47150,4738,22.6,274,-0.866,0.258
28.46550,85.47600,4927,19.0,335,-0.411,0.069
28.46550,85.48050,4823,20.9,354,-0.244,-0.124
28.46550,85.48500,4769,19.0,291,-0.767,0.309
28.46550,85.48950,5159,12.5,305,-0.610,0.368
28.46550,85.49400,5108,28.5,6,-0.217,-0.347
28.46550,85.49850,5051,41.3,13,-0.330,-0.546
28.46550,85.50300,4801,41.7,24,-0.254,-0.637
28.46550,85.50750,4669,34.1,19,-0.185,-0.523
28.46550,85.51200,4562,28.1,18,-0.104,-0.452
28.46550,85.51650,4524,21.3,28,0.079,-0.465
28.46550,85.52100,4446,10.1,16,0.137,-0.210
28.46550,85.52550,4503,17.0,298,-0.707,0.323
28.46550,85.53000,4754,31.6,294,-0.854,0.090
28.46550,85.53450,5210,28.5,298,-0.809,0.131
28.46550,85.53900,5199,29.8,280,-0.904,0.138
28.46550,85.54350,5567,34.8,274,-0.947,0.048
28.46550,85.54800,5788,11.1,347,-0.181,0.073
28.46550,85.55250,5464,22.9,55,0.228,-0.712
28.46550,85.55700,5386,21.7,56,0.249,-0.701
28.46550,85.56150,5211,21.3,60,0.274,-0.726
28.46550,85.56600,5157,9.6,73,0.492,-0.670
28.46550,85.57050,5129,4.4,150,0.159,-0.448
28.46550,85.57500,5111,5.1,210,-0.474,0.147
28.46550,85.57950,5140,21.5,249,-0.863,0.202
28.46550,85.58400,5488,31.2,229,-0.866,-0.074
28.46550,85.58850,5535,39.6,214,-0.829,-0.311
28.46550,85.59300,5856,45.3,223,-0.903,-0.326
28.46550,85.59750,6265,35.4,220,-0.839,-0.208
28.46550,85.60200,6494,16.0,171,-0.214,-0.409
28.46550,85.60650,6286,14.1,79,0.427,-0.748
28.46550,85.61100,6060,26.2,48,0.138,-0.689
28.46550,85.61550,5876,30.6,52,0.087,-0.756
28.46550,85.62000,5666,20.4,37,0.161,-0.538
28.46100,85.44000,4380,32.9,118,-0.001,-0.916
28.46100,85.44450,3841,37.3,125,-0.110,-0.917
28.46100,85.44900,3669,17.9,171,-0.241,-0.430
28.46100,85.45350,3634,13.5,305,-0.619,0.352
28.46100,85.45800,3917,30.1,312,-0.731,0.052
28.46100,85.46250,4115,26.4,292,-0.826,0.182
28.46100,85.46700,4324,27.0,261,-0.916,0.157
28.46100,85.47150,4590,31.1,257,-0.941,0.075
28.46100,85.47600,4861,26.1,274,-0.894,0.198
28.46100,85.48050,5091,15.3,352,-0.192,-0.026
28.46100,85.48500,4897,14.7,355,-0.151,-0.047
28.46100,85.48950,5012,16.1,286,-0.763,0.364
28.46100,85.49400,5191,21.3,289,-0.798,0.274
28.46100,85.49850,5526,22.9,351,-0.292,-0.131
28.46100,85.50300,5281,38.1,24,-0.202,-0.608
28.46100,85.50750,5077,43.2,15,-0.339,-0.581
28.46100,85.51200,4996,43.8,17,-0.328,-0.608
28.46100,85.51650,4807,41.3,27,-0.228,-0.656
28.46100,85.52100,4592,32.1,28,-0.084,-0.584
28.46100,85.52550,4596,15.6,331,-0.406,0.151
28.46100,85.53000,4849,24.5,259,-0.898,0.194
28.46100,85.53450,5003,25.0,232,-0.834,0.042
28.46100,85.53900,5132,29.9,242,-0.909,0.027
28.46100,85.54350,5433,39.6,259,-0.981,-0.065
28.46100,85.54800,5881,14.8,269,-0.804,0.379
