precursor_days,revisit_days,detection_rate,warning_median,warning_p25,warning_p75,abs_pred_error_median,noise_mm,creep_mm,n_trials
5,1.0,0.375,2.238505505621392,1.1834630882312922,14.961807484219806,1.6810040464487277,62.0,300.0,400
5,2.0,0.165,2.2578047210697214,1.5334224004170611,4.764387014635349,1.5518566540997527,62.0,300.0,400
5,3.0,0.0975,3.2728893351649013,2.3664338142589187,11.208707448609584,2.7580435164529566,62.0,300.0,400
5,4.0,0.0475,5.41129039061201,3.498515685548167,16.46612131483191,3.5790985594516185,62.0,300.0,400
5,6.0,0.0175,5.933614628241017,5.590186684042207,13.263210174177438,5.210687701016029,62.0,300.0,400
5,12.0,0.0,nan,nan,nan,nan,62.0,300.0,400
10,1.0,0.3225,6.349487029739169,1.4007107182614362,21.78439606714138,5.488743710294449,62.0,300.0,400
10,2.0,0.2275,4.2038846232355205,1.8647022490763554,15.573861910703414,2.910632720874765,62.0,300.0,400
10,3.0,0.1825,4.251785061513107,2.3991341974822156,7.426452801288789,2.998316978767952,62.0,300.0,400
10,4.0,0.1,4.285275600368706,3.140025244810019,7.368393353688573,2.896352294757565,62.0,300.0,400
10,6.0,0.06,4.891291014781199,3.4937930552084326,5.928048005942691,2.596971476635446,62.0,300.0,400
10,12.0,0.02,7.529053964534924,6.8116429241939125,8.237133136233997,2.650489578238386,62.0,300.0,400
20,1.0,0.3775,10.822679635091657,2.318143338244189,27.312688847006818,8.281535105749832,62.0,300.0,400
20,2.0,0.2075,7.681902748192016,2.367979884755231,20.37040208188977,6.815933854059942,62.0,300.0,400
20,3.0,0.175,5.179245651187474,2.7670621567253013,13.859594932960789,3.290249857766721,62.0,300.0,400
20,4.0,0.1625,6.1504611507559765,3.0183660474436387,10.952982258443523,3.2932127555878203,62.0,300.0,400
20,6.0,0.16,7.438162449673978,4.357240840771881,12.23627331211014,5.916554945810351,62.0,300.0,400
20,12.0,0.0425,9.933701534148696,8.2410672759715,14.15793953604657,3.5367361988422417,62.0,300.0,400
40,1.0,0.4075,34.09913109518173,10.780920690296,50.204158666276825,33.378974151429055,62.0,300.0,400
40,2.0,0.26,16.61892360859641,4.739694455877476,38.143400541125985,14.837006456259061,62.0,300.0,400
40,3.0,0.1875,7.994581272294113,4.154158605239957,17.779446111878364,6.23409075778472,62.0,300.0,400
40,4.0,0.165,9.064368230685513,4.8501565206965545,25.601061445636308,8.393946269157949,62.0,300.0,400
40,6.0,0.135,14.237710599752283,6.189090640717136,29.757848471933563,11.70813595436629,62.0,300.0,400
40,12.0,0.0575,8.865256358230248,6.5867650408113185,12.593440245024933,5.182497981796892,62.0,300.0,400
