precursor_days,revisit_days,detection_rate,warning_median,warning_p25,warning_p75,abs_pred_error_median,noise_mm,creep_mm,n_trials
5,1.0,0.305,3.120113131574854,1.0602923244058058,18.138963099355593,2.538528187437466,88.0,300.0,400
5,2.0,0.1325,2.2274694978867906,1.6079516710899782,8.300930422901935,1.8628667505693945,88.0,300.0,400
5,3.0,0.0825,3.452078244662715,2.4265747657635615,13.342286487859099,3.2695428297645126,88.0,300.0,400
5,4.0,0.05,5.301664200926016,2.8923804875633543,15.475724123218761,3.0771195895887846,88.0,300.0,400
5,6.0,0.0225,7.548092345877414,5.26283402955017,11.933614628241017,6.574109828668961,88.0,300.0,400
5,12.0,0.0,nan,nan,nan,nan,88.0,300.0,400
10,1.0,0.2625,9.816144330979068,1.7858509022685354,24.884527540601105,9.512760510378966,88.0,300.0,400
10,2.0,0.1775,5.004386916731743,1.936219631851099,18.285190150034836,3.355458432461724,88.0,300.0,400
10,3.0,0.135,4.728725276979807,2.437253861776143,12.096253556732147,3.38885481974033,88.0,300.0,400
10,4.0,0.06,6.002382529227459,3.363018243469197,11.968956195657395,3.993601831521806,88.0,300.0,400
10,6.0,0.0525,5.1362372182054585,3.787457957491462,6.173569836048632,3.0816511944132463,88.0,300.0,400
10,12.0,0.015,7.529053964534924,7.028673490270719,8.03567278709155,1.737417354041333,88.0,300.0,400
20,1.0,0.33,13.181331412518153,2.884611395126397,28.601247178717024,12.437689238954913,88.0,300.0,400
20,2.0,0.155,11.803402506154786,3.2253524924196713,29.893586787713886,10.49050411709911,88.0,300.0,400
20,3.0,0.1375,7.019416173826876,2.758045684741111,16.798282957596825,3.8190839040244633,88.0,300.0,400
20,4.0,0.12,7.280012169894675,3.506229443969837,16.147652249543796,4.771163895561036,88.0,300.0,400
20,6.0,0.14,8.631300638352995,4.51273322837262,14.590758916726475,7.4042139697822416,88.0,300.0,400
20,12.0,0.0225,11.634246497747586,8.2410672759715,17.19609318770682,7.091332973838517,88.0,300.0,400
40,1.0,0.385,36.308214434755186,13.513759305303193,51.24795266004101,35.803530423637085,88.0,300.0,400
40,2.0,0.2325,17.671096841411288,5.715695472964768,39.52990341636195,15.00467651028395,88.0,300.0,400
40,3.0,0.16,10.467059840391524,4.5890360635775735,20.54308046734025,7.996639345161697,88.0,300.0,400
40,4.0,0.11,13.691688807619334,5.304402083164511,31.964581219736893,15.516532225021091,88.0,300.0,400
40,6.0,0.1025,20.871269273846618,6.632821325323327,33.64062019141811,18.808382920224915,88.0,300.0,400
40,12.0,0.045,11.175053484790979,6.568022419991971,20.32776874639452,9.168100068356411,88.0,300.0,400
