geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,-84.845,
ASC path 98,1,2025-12-22,24,-104.728,
ASC path 98,1,2026-01-03,36,-96.162,
ASC path 98,1,2026-01-15,48,-117.935,
ASC path 98,2,2026-06-20,0,0.0,
ASC path 98,2,2026-07-02,12,44.218,
ASC path 98,2,2026-07-14,24,9.438,
ASC path 98,2,2026-07-26,36,-17.623,
ASC path 98,2,2026-08-19,60,7.241,
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,10.424,
DESC path 48,1,2025-12-19,24,-19.345,
DESC path 48,2,2026-06-29,0,0.0,0.0
DESC path 48,2,2026-07-11,12,20.532,191.642
DESC path 48,2,2026-07-23,24,51.189,271.023
DESC path 48,2,2026-08-16,48,47.075,331.934
DESC path 48,2,2026-08-28,60,-109.623,358.53
