geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,75.811,
ASC path 98,1,2025-12-22,24,199.167,
ASC path 98,1,2026-01-03,36,271.496,
ASC path 98,1,2026-01-15,48,425.497,
ASC path 98,2,2026-07-02,0,0.0,0.0
ASC path 98,2,2026-07-14,12,62.79,45.768
ASC path 98,2,2026-07-26,24,54.299,64.725
ASC path 98,2,2026-08-19,48,91.605,79.272
ASC path 98,2,2026-08-31,60,108.501,85.624
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,-372.291,
DESC path 48,1,2025-12-19,24,-957.161,
DESC path 48,1,2025-12-31,36,-715.307,
DESC path 48,1,2026-01-12,48,446.648,
DESC path 48,2,2026-06-29,0,0.0,0.0
DESC path 48,2,2026-07-11,12,628.418,333.906
DESC path 48,2,2026-07-23,24,1064.748,472.214
DESC path 48,2,2026-08-16,48,1179.548,578.341
DESC path 48,2,2026-08-28,60,1113.531,624.68
