geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,99.599,
ASC path 98,1,2025-12-22,24,237.832,
ASC path 98,1,2026-01-03,36,340.383,
ASC path 98,1,2026-01-15,48,490.358,
ASC path 98,2,2026-07-02,0,0.0,0.0
ASC path 98,2,2026-07-14,12,16.0,48.587
ASC path 98,2,2026-07-26,24,29.402,68.713
ASC path 98,2,2026-08-19,48,54.895,84.156
ASC path 98,2,2026-08-31,60,33.99,90.898
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,-498.632,
DESC path 48,1,2025-12-19,24,-1036.525,
DESC path 48,1,2025-12-31,36,-927.75,
DESC path 48,1,2026-01-12,48,396.147,
DESC path 48,2,2026-06-29,0,0.0,0.0
DESC path 48,2,2026-07-11,12,823.09,494.068
DESC path 48,2,2026-07-23,24,1131.55,698.718
DESC path 48,2,2026-08-16,48,1267.033,855.751
DESC path 48,2,2026-08-28,60,1306.939,924.317
