geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,-19.249,
ASC path 98,1,2025-12-22,24,-0.066,
ASC path 98,1,2026-01-03,36,3.024,
ASC path 98,1,2026-01-15,48,72.56,
ASC path 98,2,2026-07-02,0,0.0,0.0
ASC path 98,2,2026-07-14,12,-145.829,13.891
ASC path 98,2,2026-07-26,24,-88.884,19.645
ASC path 98,2,2026-08-19,48,-11.481,24.06
ASC path 98,2,2026-08-31,60,-96.504,25.987
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,632.614,
DESC path 48,1,2025-12-19,24,401.074,
DESC path 48,1,2025-12-31,36,-833.39,
DESC path 48,1,2026-01-12,48,-1327.251,
DESC path 48,2,2026-06-29,0,0.0,
DESC path 48,2,2026-07-11,12,267.688,
DESC path 48,2,2026-07-23,24,1282.314,
DESC path 48,2,2026-08-16,48,1389.945,
DESC path 48,2,2026-08-28,60,1248.022,
