geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,27.641,
ASC path 98,1,2025-12-22,24,46.553,
ASC path 98,1,2026-01-03,36,72.197,
ASC path 98,1,2026-01-15,48,70.776,
ASC path 98,2,2026-07-02,0,0.0,0.0
ASC path 98,2,2026-07-14,12,-40.666,1.294
ASC path 98,2,2026-07-26,24,-20.019,1.829
ASC path 98,2,2026-08-19,48,-29.787,2.241
ASC path 98,2,2026-08-31,60,-63.105,2.42
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,-130.964,
DESC path 48,1,2025-12-19,24,-143.214,
DESC path 48,1,2025-12-31,36,-241.618,
DESC path 48,1,2026-01-12,48,-24.114,
DESC path 48,2,2026-06-29,0,0.0,0.0
DESC path 48,2,2026-07-11,12,235.147,169.662
DESC path 48,2,2026-07-23,24,138.849,239.938
DESC path 48,2,2026-08-16,48,167.835,293.863
DESC path 48,2,2026-08-28,60,272.767,317.408
