geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,-50.373,
ASC path 98,1,2025-12-22,24,-50.176,
ASC path 98,1,2026-01-03,36,-25.184,
ASC path 98,1,2026-01-15,48,-16.814,
ASC path 98,2,2026-06-20,0,0.0,
ASC path 98,2,2026-07-02,12,48.77,
ASC path 98,2,2026-07-14,24,3.214,
ASC path 98,2,2026-07-26,36,41.327,
ASC path 98,2,2026-08-19,60,76.408,
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,8.34,
DESC path 48,1,2025-12-19,24,-3.365,
DESC path 48,2,2026-06-29,0,0.0,
DESC path 48,2,2026-07-11,12,16.591,
DESC path 48,2,2026-07-23,24,41.72,
DESC path 48,2,2026-08-16,48,36.424,
DESC path 48,2,2026-08-28,60,16.658,
