geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,-37.029,
ASC path 98,1,2025-12-22,24,-42.602,
ASC path 98,1,2026-01-03,36,-12.482,
ASC path 98,1,2026-01-15,48,-1.111,
ASC path 98,2,2026-06-20,0,0.0,
ASC path 98,2,2026-07-02,12,48.429,
ASC path 98,2,2026-07-14,24,12.335,
ASC path 98,2,2026-07-26,36,33.618,
ASC path 98,2,2026-08-19,60,40.484,
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,7.529,
DESC path 48,1,2025-12-19,24,2.23,
DESC path 48,2,2026-06-29,0,0.0,
DESC path 48,2,2026-07-11,12,16.571,
DESC path 48,2,2026-07-23,24,19.217,
DESC path 48,2,2026-08-16,48,9.603,
DESC path 48,2,2026-08-28,60,-5.059,
